source,target,key,relationship_type,layer,confidence,trial_id,evidence_text,direction,temporal_marker
Margueritte,Nicolas Laurent,0,SPOUSE_OF,kinship,1.0,w311,Margueritte femme Nicolas Laurent de Raon,undirected,
Margueritte,Demenge Charles,0,WIDOW_OF,kinship,1.0,w322,Margueritte veuve Demenge Charles drapier de St Nicolas,directed,
Margueritte,Comtin Petit,0,SPOUSE_OF,kinship,1.0,w323,Margueritte femme Comtin Petit Jean cordonnier,undirected,
Margueritte,George Figeat,0,WIDOW_OF,kinship,1.0,w325,Margueritte veuve George Figeat,directed,
Margueritte,Jean Curty,0,SPOUSE_OF,kinship,1.0,w326,Margueritte femme Jean Curty,undirected,
Margueritte,Fran,0,SPOUSE_OF,kinship,1.0,w326,Margueritte femme François Mourel,undirected,
Margueritte,Nicolas Houel,0,WIDOW_OF,kinship,1.0,w327,Margueritte veuve Nicolas Houel,directed,
Margueritte,Didier Ottenat,0,SPOUSE_OF,kinship,1.0,w329,Margueritte femme Didier Ottenat couroyeur de St Nicolas,undirected,
Margueritte,Durand Demenge,0,SPOUSE_OF,kinship,1.0,w339,Margueritte femme Durand Demenge Durand,undirected,
Margueritte,Estienne Noiselle,0,SPOUSE_OF,kinship,1.0,w340,Margueritte femme Estienne Noiselle,undirected,
Margueritte,Jeanne Collignon,0,CO_WITNESS,co_presence,0.5,w119,Both witnessed in w119,undirected,
Margueritte,Jehan Mortaigne,0,CO_WITNESS,co_presence,0.5,w119,Both witnessed in w119,undirected,
Catherine femme Nicolas Symmonet,"B 2199 no 2; witch 006, Françoise femme Bastien Bourguignon, dite la Vilaume, du",0,TESTIFIED_AGAINST,accusation,0.95,w006,Witness 14 in trial w006,directed,1615.0
Jehenne femme Estienne Haxaire de Rozieres,"B 8535 no 3; witch 135, Zabel femme Olry Go de Rozieres",0,TESTIFIED_AGAINST,accusation,0.95,w135,Witness 6 in trial w135,directed,1603.0
Jehenne femme Estienne Haxaire de Rozieres,Estienne Haxaire de Rozieres,0,CO_WITNESS,co_presence,0.5,w135,Both witnessed in w135,undirected,
Jean Parmentier de Neufviller,"B 8678 no 3; witch 170, Demenge Milan, de Remomeix",0,TESTIFIED_AGAINST,accusation,0.95,w170,Witness 14 in trial w170,directed,1596.0
Jacques Hugo,"B 8680 no 6; witch 176, Claude Tendon de Saulcy",0,TESTIFIED_AGAINST,accusation,0.95,w176,Witness 16 in trial w176,directed,1597.0
Jacques Hugo,B 8684 no 7. Witch 194; Jean Lallemant de St Lienard,0,TESTIFIED_AGAINST,accusation,0.95,w194,Witness 23 in trial w194,directed,1598.0
B 2574; Witch 014; Claude Hocquart,Mengeotte Hocquart,0,CO_ACCUSED,co_presence,0.9,w014,Co-accused in w014,undirected,1617.0
B 2574; Witch 014; Claude Hocquart,Catherine femme,0,CO_ACCUSED,co_presence,0.9,w014,Co-accused in w014,undirected,1617.0
Elie,Colas,0,SPOUSE_OF,kinship,1.0,w290,Elie femme Colas d'Avould,undirected,
Jean de Frambois,"B 6723 no 2; witch 108, Jean Cachette de Flin",0,TESTIFIED_AGAINST,accusation,0.95,w108,Witness 8 in trial w108,directed,1603.0
Demenge Reullemant,"B 8691 no 18; witch 229, Idoult Charpentier, de la Chapelle",0,TESTIFIED_AGAINST,accusation,0.95,w229,Witness 6 in trial w229,directed,1603.0
Demenge Reullemant,Jehan Valtin,0,CO_WITNESS,co_presence,0.5,w229,Both witnessed in w229,undirected,
Demenge Reullemant,Jennon femme du precedent,0,CO_WITNESS,co_presence,0.5,w229,Both witnessed in w229,undirected,
Demenge Reullemant,Jean Valentin,0,CO_WITNESS,co_presence,0.5,w229,Both witnessed in w229,undirected,
Demenge Reullemant,Nicolas des Grand,0,CO_WITNESS,co_presence,0.5,w229,Both witnessed in w229,undirected,
Demenge Michiel de Combrimont,"B 8675 no 2; witch 155, Jehennon Napuel, veuve Demenge Mourel de",0,TESTIFIED_AGAINST,accusation,0.95,w155,Witness 2 in trial w155,directed,1595.0
Demenge Michiel de Combrimont,Claudette femme Jean Didier le Marchal de Combrimont,0,CO_WITNESS,co_presence,0.5,w155,Both witnessed in w155,undirected,
Demenge Michiel de Combrimont,Claudette veuve Demenge le Marchal de Combrimont,0,CO_WITNESS,co_presence,0.5,w155,Both witnessed in w155,undirected,
Demenge Michiel de Combrimont,Barbelline femme Girardin Didier Girardin de Combrimont,0,CO_WITNESS,co_presence,0.5,w155,Both witnessed in w155,undirected,
Demenge Michiel de Combrimont,Barbelline femme Valentin Micqua de Quebrux,0,CO_WITNESS,co_presence,0.5,w155,Both witnessed in w155,undirected,
Demenge Michiel de Combrimont,Valentin Micqua de Quebrux,0,CO_WITNESS,co_presence,0.5,w155,Both witnessed in w155,undirected,
Claudatte femme Colas Vaultin de Moyenmoutier,"B 8719 no 1; witch 290, Mongeatte femme Jean Johel de Moyenmoutier",0,TESTIFIED_AGAINST,accusation,0.95,w290,Witness 12 in trial w290,directed,1617.0
Didier Braunschwicks,"B 5312 no 4; witch 094, Senelle femme du jeune Enguers, de Guinzeling",0,TESTIFIED_AGAINST,accusation,0.95,w094,Witness 21 in trial w094,directed,1584.0
Jean George de Foinzé,"B 8700 no 1; witch 236, Colatte femme Colas Bertrand, du Vic, Ban-le-Duc de Clefcy",0,TESTIFIED_AGAINST,accusation,0.95,w236,Witness 20 in trial w236,directed,1607.0
Colas Thouvenin laboureur de St. Prancher,"B 4500 no 1 Witch 083, Jean et Claudin Aulbry",0,TESTIFIED_AGAINST,accusation,0.95,w083,Witness 7 in trial w083,directed,1586.0
Anne femme Mathieu Hachon,"B 8691 no 1; witch 212, François Marion de Raon",0,TESTIFIED_AGAINST,accusation,0.95,w212,Witness 21 in trial w212,directed,1602.0
Jehennon femme Demenge Foelix,"B 8707 no 1; witch 253, Claudette femme George Mengin, de la Bolle",0,TESTIFIED_AGAINST,accusation,0.95,w253,Witness 8 in trial w253,directed,1610.0
Jehennon femme Demenge Foelix,Mengeatte femme Urbain Sagaire,0,CO_WITNESS,co_presence,0.5,w253,Both witnessed in w253,undirected,
Jehennon femme Demenge Foelix,Humbert Bergier,0,CO_WITNESS,co_presence,0.5,w253,Both witnessed in w253,undirected,
Jehennon femme Demenge Foelix,Demenge Foelix,0,CO_WITNESS,co_presence,0.5,w253,Both witnessed in w253,undirected,
Adrian Jacot de Moriviller,"Witch 209; B 8689 no 1, Chrétien Pierre, Moriviller",0,TESTIFIED_AGAINST,accusation,0.95,w209,Witness 2 in trial w209,directed,1601.0
Adrian Jacot de Moriviller,George Rosselat de Moriviller,0,CO_WITNESS,co_presence,0.5,w209,Both witnessed in w209,undirected,
Adrian Jacot de Moriviller,Didier Galland de Moriviller,0,CO_WITNESS,co_presence,0.5,w209,Both witnessed in w209,undirected,
Adrian Jacot de Moriviller,Lienard Jean Lienard echevin de Moriviller,0,CO_WITNESS,co_presence,0.5,w209,Both witnessed in w209,undirected,
Adrian Jacot de Moriviller,Nicolas Thomas,0,CO_WITNESS,co_presence,0.5,w209,Both witnessed in w209,undirected,
Adrian Jacot de Moriviller,Jean Gerardat,0,CO_WITNESS,co_presence,0.5,w209,Both witnessed in w209,undirected,
Adrian Jacot de Moriviller,Jean Grand Jean,0,CO_WITNESS,co_presence,0.5,w209,Both witnessed in w209,undirected,
Adrian Jacot de Moriviller,Jean Huillier de Moriviller,0,CO_WITNESS,co_presence,0.5,w209,Both witnessed in w209,undirected,
Adrian Jacot de Moriviller,Barbon femme Lienard Jean Lienard,0,CO_WITNESS,co_presence,0.5,w209,Both witnessed in w209,undirected,
"Marguitte femme Colas Demenge Anthoine
Quarrel when witness and her husband had ","B 8684 no 5; Witch 192, Barbelline veuve Demenge Mareschal, de Saulceray",0,TESTIFIED_AGAINST,accusation,0.95,w192,Witness 3 in trial w192,directed,1599.0
"Marguitte femme Colas Demenge Anthoine
Quarrel when witness and her husband had ",Jennon femme Michiel Galdrimey,0,CO_WITNESS,co_presence,0.5,w192,Both witnessed in w192,undirected,
"Marguitte femme Colas Demenge Anthoine
Quarrel when witness and her husband had ",Claudatte femme Simon Gelyat,0,CO_WITNESS,co_presence,0.5,w192,Both witnessed in w192,undirected,
"Marguitte femme Colas Demenge Anthoine
Quarrel when witness and her husband had ","and (6) Missing
(7) Catherine femme Jean Mandray
Witch 192",0,CO_WITNESS,co_presence,0.5,w192,Both witnessed in w192,undirected,
"Marguitte femme Colas Demenge Anthoine
Quarrel when witness and her husband had ",Mariatte femme Jean Girardin de la Vacherie,0,CO_WITNESS,co_presence,0.5,w192,Both witnessed in w192,undirected,
"Marguitte femme Colas Demenge Anthoine
Quarrel when witness and her husband had ",Jennon veuve Ydoulx Grand Didier,0,CO_WITNESS,co_presence,0.5,w192,Both witnessed in w192,undirected,
"Marguitte femme Colas Demenge Anthoine
Quarrel when witness and her husband had ",Claudatte femme Colas Bataille de la Vacherie,0,CO_WITNESS,co_presence,0.5,w192,Both witnessed in w192,undirected,
"Marguitte femme Colas Demenge Anthoine
Quarrel when witness and her husband had ",Catherine veuve Colas Durand de la Vacherie,0,CO_WITNESS,co_presence,0.5,w192,Both witnessed in w192,undirected,
Mengeon Jacquat,"B 8677 no 11; witch 165, Claudel Demenge Martin, du Pair",0,TESTIFIED_AGAINST,accusation,0.95,w165,Witness 18 in trial w165,directed,1596.0
Catherine femme Didier Marchal,"B 8724 no 1; witch 301, Humbert Marchal de Coincourt",0,TESTIFIED_AGAINST,accusation,0.95,w301,Witness 18 in trial w301,directed,1619.0
B 8726 no 3; witch 308,Colatte veuve Colas de la Ruelle alias Girey,0,CO_ACCUSED,co_presence,0.9,w308,Co-accused in w308,undirected,1620.0
B 8726 no 3; witch 308,de la Bourgonce,0,CO_ACCUSED,co_presence,0.9,w308,Co-accused in w308,undirected,1620.0
Hannix femme Demenge Martin,"B 3323 no 7; witch 031, Didier femme Nicolas le Vefue le Viel, de Leintrey",0,TESTIFIED_AGAINST,accusation,0.95,w031,Witness 11 in trial w031,directed,1602.0
