name,canonical_id,entity_type,gender,outcome,locations,num_trial_appearances,is_super_witness,became_accused
chrestienne feu,E00263,witness,female,,[],4,True,False
bastien houat,E00264,witness,male,,[],1,False,False
jean mongin dit haxat,E00265,witness,male,,[],1,False,False
george parmentier,E00266,witness,unknown,,[],1,False,False
nicolas grand,E00267,witness,male,,[],4,True,False
remiere nicolas villaume,E00268,witness,female,,[],1,False,False
didiere,E00269,witness,female,,"['Bathelemont', 'Arracourt']",9,True,False
nicole,E00270,witness,female,,"['St Nicolas', 'Acraigne']",11,True,False
martin jacques,E00271,witness,male,,[],1,False,False
mengeon nicolas villaume,E00272,witness,male,,"['Fontenay', 'Mortaigne', 'Anould', 'Layegoutte']",9,True,False
mathieu mathieu,E00273,witness,unknown,,[],8,True,False
colatte jean,E00274,witness,female,,['Estival'],7,True,False
anne romain thiebault lamouratte,E00275,witness,female,,[],1,False,False
jean venin,E00276,witness,male,,[],1,False,False
estienne jean haxart,E00277,witness,male,,[],1,False,False
mongeotte remy clau,E00278,witness,female,,[],1,False,False
claudon vincent choffel,E00279,witness,male,,[],2,False,False
nicolas barthremin le jeune,E00280,witness,male,,[],1,False,False
remy clau,E00281,witness,male,,[],1,False,False
nicolas barthremin le viel,E00282,witness,male,,[],1,False,False
mongeotte joseph clau,E00283,witness,female,,[],1,False,False
royne remy martin,E00284,witness,female,,[],2,False,False
remy martin,E00285,witness,unknown,,[],1,False,False
remy jean parmentier,E00286,witness,male,,[],2,False,False
jean thiebauld gerard,E00287,witness,male,,[],2,False,False
henry jan,E00288,witness,male,,['Bruy'],3,True,False
dieudonné laurent,E00289,witness,male,,['Xouarupt'],4,True,False
maurice clanne,E00290,witness,female,,[],2,False,False
colin clanne,E00291,witness,female,,[],5,True,False
jean anthoine maillot,E00292,witness,male,,['Haillieule'],3,True,False
valentin haillant,E00293,witness,unknown,,[],1,False,False
jacot jean jacot,E00294,witness,male,,[],2,False,False
jean haillant,E00295,witness,male,,[],2,False,False
adam parmentier,E00296,witness,unknown,,[],1,False,False
toussaine jean colé,E00297,witness,female,,[],1,False,False
jean micquel,E00298,witness,male,,[],1,False,False
