person1,person2,relationship_type,trial_id,evidence_text,confidence
Barbelline,Didier Antoine,spouse_wife,w232,"B 8693 no 3; witch 232; Barbelline femme Didier Antoine, d'Entre-deux-Eaux",1.0
Bernarde,Demenge Baille,spouse_wife,w234,"B 8693 no 5; witch 234, Bernarde femme Demenge Baille, de la Neuveville-les-Raon",1.0
Claudatte,Jean Henri,spouse_widow,w235,"B 8699; witch 235, Claudatte veuve Jean Henri de Lubine",1.0
Colatte,Colas Bertrand,spouse_wife,w236,"B 8700 no 1; witch 236, Colatte femme Colas Bertrand, du Vic, Ban-le-Duc de Clefcy",1.0
Marguitte,Jean Digard,spouse_widow,w238,"B 8700 no 3; witch 238, Marguitte veuve Jean Digard, de Raon",1.0
Claudette,Bastien Delat,spouse_wife,w239,"B 8700 no 4; witch 239, Claudette femme Bastien Delat, de St Dié",1.0
Jennon,Demenge Napuel,spouse_widow,w245,"B 8702 no 6; witch 245, Jennon veuve Demenge Napuel, de Raves",1.0
Claudatte,Jean Claudel,spouse_wife,w246,"B 8702 no 7; Witch 246, Claudatte femme Jean Claudel le Maimbourg, de Raves",1.0
Sebille,Etienne Pescheur,spouse_wife,w247,"B 8702 no 8; witch 247, Sebille femme Etienne Pescheur, de La Neuveville-les-Raon",1.0
Jennon,Jean Pieron,spouse_wife,w249,"B 8702 no 10; witch 249, Jennon femme Jean Pieron Geliat, de la Neuveville-les-Raon.",1.0
Marguitte Lairain,Mengeon Moullot,spouse_wife,w250,"B 8702 no 11; witch 250, Marguitte Lairain femme Mengeon Moullot de la Vacherie",1.0
Franceatte,Nicolas Charier,spouse_wife,w251,"Witch 251; B 8704 no 1, Franceatte femme Nicolas Charier, de la Neuveville les Raon",1.0
Georgeatte,Demenge Jean,spouse_wife,w252,"B 8704 no 2. Witch 252: Georgeatte femme Demenge Jean Chopat, of La Neuveville-",1.0
Claudette,George Mengin,spouse_wife,w253,"B 8707 no 1; witch 253, Claudette femme George Mengin, de la Bolle",1.0
Jennon,Colas Ydoulx,spouse_widow,w260,"B 8707 no 8; witch 260, Jennon veuve Colas Ydoulx, de Nompatelize",1.0
Esnel,Demenge Bourrotte,spouse_wife,w261,"B 8707 no 9; witch 261, Esnel femme Demenge Bourrotte, de l'Hoste du Bois (la Salle)",1.0
Agathe,Claudon Urbain,spouse_wife,w262,"B 8708 no 1; witch 262, Agathe femme Claudon Urbain, de Sachemont",1.0
Marguitte,Jean Laurent,spouse_widow,w264,"B 8708 no 3; witch 264, Marguitte veuve Jean Laurent de Brehimont",1.0
Jennon,Claudon Girard,spouse_wife,w266,B 8708 no 5; witch 266; Jennon femme Claudon Girard de St Remy.,1.0
Marguitte,Girardin Haxo,spouse_wife,w268,"B 8708 no 7; witch 268, Marguitte femme Girardin Haxo de La Fosse",1.0
Laurence,Vincent Bandesapt,spouse_wife,w270,"B 8708 no 9; witch 270, Laurence femme Vincent Bandesapt, de Pajaille",1.0
Claudette,Jean Dabo,spouse_wife,w273,"B 8712 no 2; witch 273, Claudette femme Jean Dabo de Grattain",1.0
Mengeatte,Jean Frampart,spouse_wife,w274,"B 8712 no 3; witch 274, Mengeatte femme Jean Frampart de Saint Dié",1.0
Jehennon,Thomas Diez,spouse_widow,w275,"B 8712 no 4; witch 275, Jehennon veuve Thomas Diez Thomas de Mazelay",1.0
Georgeatte,Didier Malley,spouse_wife,w278,"Witch 278: B8715 no 1, Georgeatte femme de Didier Malley de la Neufville-les-Raon",1.0
Epnon,Jean Charbonatte,spouse_widow,w279,"Witch 279; B 8715 no 2, Epnon veuve Jean Charbonatte, de Sachemont",1.0
Claudatte,Lambert Claudel,spouse_wife,w280,"Witch 280: B8715 no 3, Claudatte femme Lambert Claudel Ferry de Vicq",1.0
Fleuratte,Bastien,spouse_wife,w282,"Witch 282; B 8715 no 5, Fleuratte femme Bastien des Boeufs, de la Neuveville-les-",1.0
Annon,Jean Clauderat,spouse_wife,w283,"Witch 283; B 8715 no 6, Annon femme Jean Clauderat de Raon",1.0
Jennon,Claudon Hennemant,spouse_wife,w284,"B 8717 no 1; witch 284, Jennon femme Claudon Hennemant de La Vacherie (S.",1.0
Marguitte,Chrestien Colas,spouse_wife,w285,"B 8717 no 2; witch 285, Marguitte femme Chrestien Colas Thierry, of le Chanoy de",1.0
Catherine,Benoist Mathieu,spouse_wife,w286,"B 8717 no 3; witch 286, Catherine femme Benoist Mathieu de la Grandfosse",1.0
Jennon,Claude Mengin,spouse_wife,w289,"B 8717 no 6; witch 289, Jennon femme Claude Mengin de Fouchifol (commune de",1.0
Mongeatte,Jean Johel,spouse_wife,w290,"B 8719 no 1; witch 290, Mongeatte femme Jean Johel de Moyenmoutier",1.0
Jennon,Jean Jacquot,spouse_wife,w291,"B 8719 no 2; witch 291, Jennon femme Jean Jacquot Etienne du Menil",1.0
Dion,Jean Remy,spouse_widow,w292,"B 8719 no 3; witch 292, Dion veuve Jean Remy de Raon",1.0
Dieudonnée,Toussaint Jalley,spouse_wife,w293,"B 8721 no 1. Witch 293, Dieudonnée femme Toussaint Jalley de Mazelay, 20 March -",1.0
Catherine,Bertremin Claude,spouse_wife,w295,"B 8721 no 3; Witch 295, Catherine femme Bertremin Claude de Wisembach",1.0
Catherine,Jean,spouse_wife,w298,"B 8721 no 6. Witch 298, Catherine femme Jean le Maire, of Le Paire (Saulcy-sur-",1.0
Babelon,Mongeon Voirin,spouse_wife,w299,B 8721 no 7. Witch 299; Babelon femme Mongeon Voirin de Moyenmoutier,1.0
