node,n_neighbors,accused_neighbors,exposure_ratio,is_accused
Nicolas Viney,1,0,0.0,0
B 8678 no 2; witch 169,2,0,0.0,0
Marguitte femme Colas Andreu de Brehimont,1,1,1.0,0
Jennon femme Jean Jacquot Etienne du Menil,1,0,0.0,0
Pierre Vigneron,1,0,0.0,0
Nicolas Villaume,4,0,0.0,0
Nicolas Midon vigneron de Ville en Vermois,1,1,1.0,0
Jean Georges,1,0,0.0,0
Mongeon Grand Ferry,10,1,0.1,0
Demenge Barbonnille le vieux,10,1,0.1,0
Pierre Grosmaire,11,1,0.09090909090909091,0
Zabey femme Remy Grand Demenge,10,1,0.1,0
Paulus Loys de Repas,1,1,1.0,0
Zabey femme a Demenge Pierson de Domjevin,1,1,1.0,0
Jean de la Court de Raon,1,1,1.0,0
Simon Duxel le jeune boulangier de St Nicolas,10,1,0.1,0
Didier Ottenat,1,0,0.0,0
Mathieu Trompette,1,1,1.0,0
Jean Colin le vieu,1,1,1.0,0
Jean Mengin de La Bolle,10,1,0.1,0
Claudette veuve Demenge le Marchal de Combrimont,7,1,0.14285714285714285,0
Mengeatte femme du precedent,3,3,1.0,0
Claudon des Clochettes,10,1,0.1,0
Catherine fille de Claudon Mihiel,10,1,0.1,0
Colas Chalgotte,1,0,0.0,0
du Paire,2,0,0.0,0
Jean Thouvelin de Docelles,10,1,0.1,0
Colas Charier,1,1,1.0,0
Witch 185,1,1,1.0,0
B 8707 no 1; witch 253,2,0,0.0,0
Nicolas Lambo,1,0,0.0,0
Mre Germain Haut Germain,10,1,0.1,0
Engel,1,0,0.0,0
Honneste homme Nicolas Grillat,1,1,1.0,0
Marguitte femme Jean Jacquot,2,0,0.0,0
Mongeon,3,0,0.0,0
Demenge Henriot,2,1,0.5,0
Claudon Piernille,12,2,0.16666666666666666,0
Estienne Cherrier dit le jeune Estienne,1,1,1.0,0
Jennon femme Jean Rolbey de l'Hoste du Bois,9,0,0.0,0
"B 8707 no 7; witch 259, Jean Seigaire de Nompateli",7,0,0.0,1
Pentecoste,1,0,0.0,0
Halby,1,0,0.0,0
Nicolas Bars,1,0,0.0,0
"B 3327 no 3; witch 039, Margueritte Francois, veuv",9,0,0.0,1
Alizon,16,0,0.0,0
Claudon Jean Mengeotte jeune fils de Gondrexon,1,1,1.0,0
Le maire Conradt,10,1,0.1,0
Didier Thiery of Moyemont,10,1,0.1,0
Jean Chrestien,1,1,1.0,0
Arnould Didier,1,0,0.0,0
Jeanne veuve Mansuy Magnien,2,0,0.0,0
Mengeotte Jean Bauldomin,1,1,1.0,0
Zabel femme Olry Go de Rozieres,1,0,0.0,0
"Jennon femme Demenge des Boeufs
Some 4 years befor",1,1,1.0,0
Chretienne veuve Colas Hachon,10,1,0.1,0
Claudon Mihiel,2,0,0.0,0
Demenge de Nohegny,11,2,0.18181818181818182,0
Claudin Didillot laboureur de St. Prancher,1,1,1.0,0
Claude Vincent,1,1,1.0,0
Colas Thoussainct de Gerbeviller,1,1,1.0,0
Claude Louys,1,0,0.0,0
Catherine femme a Laurent Forestier alias Gregoire,1,1,1.0,0
Colas Jean Simonin de Moyemont,1,1,1.0,0
Ydatte,2,0,0.0,0
Barbon,13,0,0.0,0
Claudon fils Vincent Choffel,1,1,1.0,0
Colas Colin Demenge Ganay,10,1,0.1,0
Demenge Colas Gaixotte,1,1,1.0,0
"B 3792 no 2; Witch 063, Jean Gerardin de Dompierre",14,0,0.0,1
"(Unknown witness)
Knew nothing of Colas.",1,1,1.0,0
Nicolas Marchal,1,0,0.0,0
Jacques Houllon,1,0,0.0,0
Colas Finance,1,0,0.0,0
Fleurence,1,0,0.0,0
Claudon Gasel,2,1,0.5,0
Jean Thomassin,1,1,1.0,0
Claudon femme de Vincent Badel de la Neufville,1,1,1.0,0
Catherine fille Didier Housson,1,1,1.0,0
B 8677 no 12; witch 166,2,0,0.0,0
Jacquat Jean,1,0,0.0,0
Nicolas Barret,1,0,0.0,0
Didiere femme Pierre Roussel,6,1,0.16666666666666666,0
Colas Ferry,10,1,0.1,0
Nicolas Simonotte,1,0,0.0,0
Didion femme Jean Esclaire,1,1,1.0,0
Le maire Demenge Bourlier,1,1,1.0,0
Mengin Cuysenier,1,1,1.0,0
Annon femme Didier Parmentier de Bathelemont,1,1,1.0,0
Collatte femme Colin des Gottes de Braçoncel,1,1,1.0,0
Claudin Caulies,1,0,0.0,0
Catherine femme Jacques Bastien cuysenier,10,1,0.1,0
Francois Marlier tisserand a Saint Dié,10,1,0.1,0
Claude Louis vigneron de Condé,10,1,0.1,0
Jean Michelet,1,1,1.0,0
Benoiste femme Didier Bruant,1,1,1.0,0
Didier Martin dit Saulnier,10,1,0.1,0
Jeannon femme Blaison Jeantaire,1,1,1.0,0
Claude Didier,2,0,0.0,0
Mongeon femme de Demenge de But tabellion de Charm,10,1,0.1,0
Francois Mareschal d'Entre-deux-Eaux,10,1,0.1,0
Marguitte femme Jacot Hidoult George,9,1,0.1111111111111111,0
Nicolas Colon,1,0,0.0,0
Catherine femme Demenge Vian cordonnier,10,1,0.1,0
Pieron Belmont,1,0,0.0,0
B 3323 no 2; witch 026,2,0,0.0,0
Toussainct Guillemette,1,0,0.0,0
Jennon femme Jean Grand Didier,1,1,1.0,0
Catherine fille feu Michiel Petit Michiel,1,1,1.0,0
B 5312 no 2; Witch 092,2,0,0.0,0
"Didier ?
Reputation only.
(4) Le maire Bastien Fou",10,1,0.1,0
Nicolas Masson,1,1,1.0,0
Georgeon Colas,1,0,0.0,0
Humbert Berton de Dignonville,1,1,1.0,0
Anthoine Epvre de Bathelemont,1,1,1.0,0
Claudatte femme Colas Noel de Moyenmoutier,1,1,1.0,0
Jeandon Bassat de Belmont,9,1,0.1111111111111111,0
Jean Brocquard,1,0,0.0,0
Jacquat Barthelemin,1,0,0.0,0
Barbe veuve Mathieu la Breuche,9,1,0.1111111111111111,0
"B 7122; witch 111, Claudatte femme Nicolas du Val ",11,0,0.0,1
Didier Marsellot laboureur de St. Prancher,1,1,1.0,0
Antoine Binaud d'Aidoile,1,1,1.0,0
Claude femme de Nicodemus Utchin,1,1,1.0,0
Claudon Bessy,1,0,0.0,0
Demenge Biennon de Dompierre,10,1,0.1,0
B 3789 No 3; Witch 060,2,0,0.0,0
Mengeotte femme Demenge Fournier,10,1,0.1,0
Demenge Caille alias Fanel,1,1,1.0,0
Jean des Boeufs de la Neuveville,9,1,0.1111111111111111,0
Vincent Delon,1,0,0.0,0
Humbert le Grand Adam du Ban le Duc,1,1,1.0,0
Marguitte Lairain femme Mengeon Moullot de la Vach,1,0,0.0,0
Bastienne femme Gerard Toussains de Bathelemont,1,1,1.0,0
Claudon Simonin,11,1,0.09090909090909091,0
Marguitte femme a Jean Demenge Valentin d'Aulbripa,1,1,1.0,0
Sebille femme Idoult le Parmentier,1,1,1.0,0
Demenge Tocquart,1,0,0.0,0
Nicolas Claudon Lamblat,8,1,0.125,0
Demenge Grand Prey maire,10,1,0.1,0
B 8712 no 5; witch 276,2,0,0.0,0
Jeanne femme Nicolas Estienne de Bathelemont,1,1,1.0,0
Thoussaince femme Demenge Claude Jean le Maire,1,1,1.0,0
Jehenne femme Jean Gerard,1,1,1.0,0
Bastienne veuve Claude Charton,10,1,0.1,0
Belatte femme Michel Barbellin de Bathelemont,1,1,1.0,0
Jennon femme Jean Mongeot de Domjevin,10,1,0.1,0
Jean Jennat,1,1,1.0,0
Nicolas Mariotte,10,1,0.1,0
Jacques,4,0,0.0,0
Annel femme Henry Mulnier de Domjevin,1,1,1.0,0
Polline veuve Jean le Maire,1,1,1.0,0
Didier Claudon Noel,20,2,0.1,0
Claude Pulligny,1,0,0.0,0
de Lubine,3,0,0.0,0
Didier Thierry,1,1,1.0,0
Nicolas Jean Martin,11,2,0.18181818181818182,0
Doctor Nickel,10,1,0.1,0
"B 8687 no 6; witch 204, Mengeatte veuve Colas Lien",12,0,0.0,1
Cuevrin Dieudonne,1,0,0.0,0
Zacharie Colin,1,0,0.0,0
Lienard Demenge Lienard,10,1,0.1,0
Jean Dieudonné Demenge Gerard,1,1,1.0,0
Jehenne femme Nicolas Mengeotte,1,1,1.0,0
Jean Guenaye de Rougiville,9,1,0.1111111111111111,0
Nicolas Thierat,1,0,0.0,0
Jacquey Mandray,10,1,0.1,0
Jean Masson le jeune de Mouriviller,1,1,1.0,0
Georgeot Cabled,1,0,0.0,0
Rose femme Louis Vincent,2,0,0.0,0
"B 8979 no 2; witch 325, Alizon Chardot, veuve Clau",6,0,0.0,1
Francois Adam,9,1,0.1111111111111111,0
Claudon Chabay,1,0,0.0,0
Laurant Periny,1,1,1.0,0
B 2192 no 1; witch 138,1,0,0.0,0
Jean Barthe,10,1,0.1,0
Colas Demenge Anthoine de Saulceray,1,1,1.0,0
Mengeatte femme Colas du Chemin du Vivier,1,1,1.0,0
Jehanne femme Jacquot Maulvais,1,1,1.0,0
Demenge Broulland,1,0,0.0,0
Claudon Jean Simon de la Chapelle,11,2,0.18181818181818182,0
Margueritte femme Jean Gardel,10,1,0.1,0
Laurent Laurent vigneron de Rozieres,1,1,1.0,0
Jean Pierron Geliat,2,0,0.0,0
Elizabethe,1,0,0.0,0
Demenge Treuchey,1,0,0.0,0
Claudin Aulbry,2,0,0.0,0
Didier Thiebault de la Vacherie,11,2,0.18181818181818182,0
Demenge Marchal de Rozieres,10,1,0.1,0
de Hurbache,2,0,0.0,0
Humbert Guidot,11,1,0.09090909090909091,0
Remiere veuve Bastien Clement Beustal,2,0,0.0,0
Mengeon Mainel,1,1,1.0,0
Catherine femme Nicolas Morisot de la Neufville-le,10,1,0.1,0
Mayette femme Dietrich Gaste de Wirming,1,0,0.0,0
judges urged her,2,0,0.0,0
Jean Marchal d'Embermesnil,1,1,1.0,0
Lambert Claudel,1,0,0.0,0
Sebille femme Claude Barbier,1,1,1.0,0
Claudatte femme Symon de Besmont of Nompatelize,10,1,0.1,0
Nicolas Laclaire,1,0,0.0,0
Noble Homme Gilles Padoux lieutenant de bailly à S,1,1,1.0,0
Colas Martal,1,1,1.0,0
Demange Malgrais,1,0,0.0,0
Jacquin Frampart,1,0,0.0,0
Jean Dieudegnon,1,0,0.0,0
"B 8678 no 3; witch 170, Demenge Milan, de Remomeix",13,0,0.0,1
Clemence fille Jean Poulain,1,1,1.0,0
Anthoinette,25,3,0.12,0
Demenge Colas,4,0,0.0,0
Claudon Montoille,1,0,0.0,0
Philippe Grand Demenge,10,1,0.1,0
Jean Verger,10,1,0.1,0
Claudon femme de Perrin Boulengier de St. Prancher,1,1,1.0,0
Jennon femme Claudon Chapouxat,1,1,1.0,0
Demenge Claude Cugnin,7,1,0.14285714285714285,0
Françoise veuve Humbert Jouenot,10,1,0.1,0
Cuevrin Dieudonne de Charmes,1,1,1.0,0
Mengeotte femme Jean Fallajeulx le jeune de St Rem,1,1,1.0,0
Mengel Jacquel,1,0,0.0,0
Claudon Mengin,1,0,0.0,0
Mongeon Charpentier,1,0,0.0,0
B 8735 no 5; witch 312,1,0,0.0,0
Jean Gelliat,3,1,0.3333333333333333,0
Sebille femme Idoult Jean Martin,10,1,0.1,0
Georgeatte femme Demenge Chopat,1,1,1.0,0
Nicolas le Maire le vieux alias Petit Homme,10,1,0.1,0
Jean des Arches de la Chapelle,1,1,1.0,0
Toussainct Jean Fresse de La Bolle,10,1,0.1,0
Mongeotte,12,1,0.08333333333333333,0
Jeannon veuve Mengeot Brichelot,10,1,0.1,0
Jean Thiebault,1,0,0.0,0
Jean Charton,11,2,0.18181818181818182,0
Claude Wanesson,1,0,0.0,0
Odille femme Nicolas Pistollet,1,1,1.0,0
Jean Goudot,1,0,0.0,0
Demenge Bagrat,2,1,0.5,0
Jean de Benamesnil,7,1,0.14285714285714285,0
Jean Girardin Haxo de la Fosse,10,2,0.2,0
Nicolas Gaillot,1,0,0.0,0
Hamans Petter,7,1,0.14285714285714285,0
Thoussainct Claudon Thoussainct,7,1,0.14285714285714285,0
Tiriot Mathieu cordonnier de la Neufville,8,1,0.125,0
Idoulx Oudinot,2,1,0.5,0
