source,target,relationship
François Pelletier le jeune,"B 3335 no 2; witch 044, Hellenix femme Barthelemin le Reytre, de Blamont",TESTIFIED_AGAINST
Jennon veuve Claudon Aulbry,"B 8707 no 6; witch 258, Nicolas Pairson of le Vivier",TESTIFIED_AGAINST
Jennon femme Jean Diez,"B 3335 no 2; witch 044, Hellenix femme Barthelemin le Reytre, de Blamont",TESTIFIED_AGAINST
Pieron Bocatte d'Essegney,"B 4094 no 1 Witch 073, Catherine la Rondelatte",TESTIFIED_AGAINST
Pierrot Poullet sergent,B 8941 no 1. Witch 317; Mengotte femme Pierre Gascon de St. Nicolas.,TESTIFIED_AGAINST
Sebille Cloutier veuve Colas Bourdaine,"B 3317 no 1; Witch 023, Didie veuve Demenge Pourlatte, de Blamont",TESTIFIED_AGAINST
Marguitte femme Didier Seigaire,"B 8687 no 10; witch 208, Mengeon Claude Perrin de Brehimont",TESTIFIED_AGAINST
Mengette femme a Jacquette Blaise du Viel Marché,"Witch 156: B8677 no 2, George de Hault of Clingotte.",TESTIFIED_AGAINST
Margueritte femme Jean Fercquel de Bathelemont,"B 5769; witch 106, Babillon femme Claudon Girard de Bathelemont-les-Bauzemont",TESTIFIED_AGAINST
Jean de la Houtte de Laistre,"B 8680 no 2; witch 172, Demenge Martin, du Paire",TESTIFIED_AGAINST
Jehan Simon,"B 8691 no 18; witch 229, Idoult Charpentier, de la Chapelle",TESTIFIED_AGAINST
Perrin Boulengier laboureur de St. Prancher,"B 4500 no 1 Witch 083, Jean et Claudin Aulbry",TESTIFIED_AGAINST
Jean Collusse demeurant a Ranfaing,"B 2512; witch 012, Jacotte femme Demenge Romary Petit Colin, de Seuche",TESTIFIED_AGAINST
Didielle femme du precedent,"B 8682 no 9; witch 187, Claudatte femme Jean Parmentier, de Ste Marguerite",TESTIFIED_AGAINST
Antoine Masson de Dompierre,"B 3792 no 2; Witch 063, Jean Gerardin de Dompierre",TESTIFIED_AGAINST
Gergonne Guenaire,"B 8961 no 1. Witch 323, Claudon veuve Mengin Wannier, de St Nicolas",TESTIFIED_AGAINST
Le maire Nicolas George de Moriviller,"Witch 209; B 8689 no 1, Chrétien Pierre, Moriviller",TESTIFIED_AGAINST
