canonical_id,canonical_name,num_trials,gender,became_accused,outcome,degree,betweenness_centrality,pagerank,closeness_centrality
E01315,catherine servante a,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01704,catherine a colas george mongenat,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01703,idoult marie,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01669,jean george le jeune,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01640,benitte,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01633,anthoine clau,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01558,jean hanna,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01550,didier clau,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01523,bertremin michel flandrey,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E01511,jean clement lieutenant,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01504,le maire clau,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01438,jean noel,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01394,lucye jean galbin,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01336,jean rouyer,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01277,ysabel,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00715,nicolas jean ferry,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01258,jean mathieu le viel,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01250,jean symon,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01237,claudatte symon hanry,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01189,claudon mengin,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01165,agnes jean loys,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01072,jean caillat,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00895,barbe femme,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00892,didier simon mercier à charmes,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E00866,nicolas aulbry,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00864,jean aulbry le vieux,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00813,idatte femme,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E00800,jean thiriat,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E00716,nicolas le maire le vieux alias petit homme,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02858,didier ferry,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
